,A,B,C,D,E,F,G,H,I,J,K,U
67,0 days 00:01:07.000000000,439,386,527,588,25784,28742,3732,43367,41591,63894,3
68,0 days 00:01:08.000000000,537,498,588,353,12114,36252,10573,38977,6730,3803,0
69,0 days 00:01:09.000000000,390,409,550,583,6975,33215,2858,13833,2799,59750,4
70,0 days 00:01:10.000000000,382,210,460,518,59731,26026,57820,48714,1491,34254,4
71,0 days 00:01:11.000000000,363,447,324,368,46247,62728,21916,24370,7623,23379,4
72,0 days 00:01:12.000000000,479,473,333,495,40115,63955,3262,53649,5575,57041,6
73,0 days 00:01:13.000000000,371,371,353,590,12042,31634,62531,33341,62065,60129,9
74,0 days 00:01:14.000000000,568,253,476,572,21725,10752,58977,37097,50523,13613,2
75,0 days 00:01:15.000000000,597,219,420,384,53993,11368,59776,17647,64556,34808,7
76,0 days 00:01:16.000000000,579,407,445,208,26088,55958,58199,3031,57025,2553,7
77,0 days 00:01:17.000000000,373,409,514,208,19837,8489,28657,25709,15706,3481,3
78,0 days 00:01:18.000000000,393,302,293,501,17629,25877,43129,50662,4870,60243,9
79,0 days 00:01:19.000000000,497,218,337,419,13162,22626,64071,26024,7159,40474,5
80,0 days 00:01:20.000000000,260,283,486,347,38910,2507,12800,34471,20438,50820,7
81,0 days 00:01:21.000000000,566,395,389,234,28788,56420,26354,31665,16823,26162,4
82,0 days 00:01:22.000000000,226,485,587,242,58558,34838,15505,55723,48486,18274,6
83,0 days 00:01:23.000000000,578,474,256,536,16366,6931,14007,16468,54621,2302,4
84,0 days 00:01:24.000000000,466,341,432,244,27020,25348,1076,19366,56586,15775,3
85,0 days 00:01:25.000000000,338,359,371,407,19727,9364,9960,39986,53826,56066,8
86,0 days 00:01:26.000000000,221,302,577,511,984,45378,10916,18468,60900,46784,5
87,0 days 00:01:27.000000000,203,411,512,428,54342,12254,23191,33575,40700,59944,8
88,0 days 00:01:28.000000000,589,227,543,240,16143,7559,63303,37649,4685,65214,8
89,0 days 00:01:29.000000000,402,238,311,277,58820,5811,57432,53679,63237,49319,0
90,0 days 00:01:30.000000000,397,429,489,406,24625,44447,1551,30585,9309,25181,8
91,0 days 00:01:31.000000000,476,274,559,363,14333,44923,46202,37450,7037,64815,0
92,0 days 00:01:32.000000000,257,528,504,394,32761,9868,33092,11267,61057,52878,6
93,0 days 00:01:33.000000000,299,295,478,347,47722,36806,52767,58739,26231,6816,7
94,0 days 00:01:34.000000000,333,201,419,398,49601,43635,21901,43715,46300,29839,7
95,0 days 00:01:35.000000000,447,215,277,294,33410,6609,46850,11946,51544,48469,5
96,0 days 00:01:36.000000000,278,455,223,311,57990,41480,38212,54438,31449,15549,7
97,0 days 00:01:37.000000000,262,442,393,374,5029,60529,54553,43074,60923,38771,5
98,0 days 00:01:38.000000000,515,277,371,516,61621,39846,53708,39810,63327,39132,9
99,0 days 00:01:39.000000000,556,251,291,586,58086,8539,7677,23021,4075,39743,8
100,0 days 00:01:40.000000000,364,519,497,321,32383,8898,20190,64431,29655,37875,5
